City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Nouadhibou,MR,2022-01-26 19:10:03,20.931,-17.0347,65.26,70,0,24.94
273,Husavik,IS,2022-01-26 19:10:04,66.0449,-17.3389,23.68,75,100,10.92
274,Hot Springs,US,2022-01-26 19:06:17,34.5037,-93.0552,40.32,38,0,1.99
275,Paros,GR,2022-01-26 19:10:04,37.0833,25.15,47.3,58,100,23.0
276,Evanston,US,2022-01-26 19:10:05,42.0411,-87.6901,11.21,51,0,3.0
277,Road Town,VG,2022-01-26 19:10:08,18.4167,-64.6167,82.49,61,20,8.05
278,Sembakung,ID,2022-01-26 19:11:05,3.8167,117.25,73.04,100,100,1.34
279,Conceicao Do Araguaia,BR,2022-01-26 19:11:06,-8.2578,-49.2647,84.18,66,100,2.26
280,Esperance,AU,2022-01-26 19:11:06,-33.8667,121.9,62.44,86,66,8.72
281,Jibuti,DJ,2022-01-26 19:07:21,11.5,42.5,72.82,65,0,15.97
282,Komsomolskiy,UZ,2022-01-26 19:11:07,40.4272,71.7189,35.02,74,0,6.91
283,Beipiao,CN,2022-01-26 19:11:07,41.7919,120.7792,12.33,52,0,3.58
284,Porto Velho,BR,2022-01-26 19:11:08,-8.7619,-63.9039,77.05,88,40,5.75
285,Alta Floresta,BR,2022-01-26 19:11:08,-9.8756,-56.0861,79.66,86,100,3.91
286,Provideniya,RU,2022-01-26 19:11:09,64.3833,-173.3,-10.77,88,63,2.28
287,Zvishavane,ZW,2022-01-26 19:11:09,-20.3267,30.0665,67.33,98,100,7.87
288,Balabac,PH,2022-01-26 19:11:10,7.9868,117.0645,79.3,82,100,3.13
289,Srednekolymsk,RU,2022-01-26 19:11:10,67.45,153.6833,-43.98,100,51,3.62
290,Silistea Crucii,RO,2022-01-26 19:11:10,44.0333,23.4833,33.73,79,91,13.0
291,Lagoa Vermelha,BR,2022-01-26 19:11:11,-28.2086,-51.5258,91.44,34,95,6.87
292,Haines Junction,CA,2022-01-26 19:11:11,60.7522,-137.5108,14.05,97,100,1.48
